Waktu;Beras_Kualitas_Bawah_I;Beras_Kualitas_Bawah_II;Beras_Kualitas_Medium_I;Beras_Kualitas_Medium_II ;Beras_Kualitas_Super_I;Beras_Kualitas_Super_II;Daging_Ayam_Ras_Segar;Daging_Sapi_Kualitas_I;Daging_Sapi_Kualitas_II;Telur_Ayam_Ras_Segar;Bawang_Merah_Ukuran_Sedang;Bawang_Putih_Ukuran_Sedang;Cabai_Merah_Besar;Cabai_Merah_Keriting;Cabai_Rawit_Hijau;Cabai_Rawit_Merah;Minyak_Goreng_Curah;Minyak_Goreng_Kemasan_Bermerk_1;Minyak_Goreng_Kemasan_Bermerk_2;Gula_Pasir_Kualitas_Premium;Gula_Pasir_Lokal
Jan 2017 (I);9750;9250;10750;10250;12000;11700;31650;117500;110000;19150;28250;35500;39400;40900;52500;87500;11250;13000;13000;15500;13000
Jan 2017 (II);9750;9250;10750;10250;12000;11700;31400;117500;110000;18900;26300;35100;40700;42500;51000;82000;11250;13000;13000;15250;13000
Jan 2017 (III);9750;9250;10750;10250;12000;11700;31200;117500;110000;18450;26600;33900;38500;40500;51000;93500;11250;13000;13000;15250;13000
Jan 2017 (IV);9750;9250;10750;10250;12000;11700;31700;117500;110000;18250;24800;33700;40500;44500;59500;96000;11250;13000;13000;15500;13000
Jan 2017 (V);9750;9250;10750;10250;12000;11700;30600;117500;110000;17750;26000;34300;46000;44000;68000;105000;11250;13000;13000;15500;13000
Feb 2017 (I);9750;9250;10750;10250;12000;11700;29700;117500;110000;17750;28800;35100;45000;42300;70500;114000;11700;13000;13050;15500;13000
Feb 2017 (II);9750;9250;10750;10250;12000;11700;29100;117500;110000;17500;36800;35400;38000;28200;60500;105500;13000;13000;13500;16000;13000
Feb 2017 (III);9750;9250;10750;10250;12000;11700;29300;117500;110000;17500;37200;34300;30500;29600;52000;117500;12550;13000;13500;16000;13000
Feb 2017 (IV);9750;9250;10750;10250;12000;11700;28800;117500;110000;17500;37300;34000;26200;25700;44000;115000;11900;13000;13750;16000;13000
Mar 2017 (I);9600;9050;10600;10100;11900;11600;29000;117500;110000;17500;38400;33100;26200;27500;45000;113000;11500;13000;13750;16000;12750
Mar 2017 (II);9550;9000;10550;10050;11900;11600;30000;117500;110000;18100;34100;33600;22500;23000;37000;81500;11450;13200;13750;16000;12750
Mar 2017 (III);9550;9000;10550;10050;11900;11600;29600;117500;110000;18500;26000;34500;22000;20400;35500;59500;11250;13250;13750;15400;12750
Mar 2017 (IV);9550;9000;10550;10050;11900;11600;29650;117500;110000;17950;25400;35000;21750;17150;37500;58150;11150;13250;13750;15250;12750
Apr 2017 (I);9550;9000;10550;10050;11900;11600;29500;117500;110000;17750;24300;41100;20200;17100;31500;47000;10900;13250;13750;15250;12750
Apr 2017 (II);9550;9000;10550;10050;11900;11600;30400;117500;110000;17650;25500;45000;21500;18500;29000;45900;11050;13250;13750;15250;12750
Apr 2017 (III);9550;9000;10550;10050;11900;11600;29900;117500;110000;17200;25100;49300;23300;17100;30700;48000;10600;13250;13700;15250;12750
Apr 2017 (IV);9550;9000;10550;10050;11900;11600;30400;117500;110000;19750;25900;59650;30000;19500;29250;45000;10500;13250;13500;15250;12750
