waktu;Beras_Kualitas_Bawah_I
Jan 2018 (I);10250
Jan 2018 (II);11000
Jan 2018 (III);11000
Jan 2018 (IV);11400
Jan 2018 (V);11500
Feb 2018 (I);11500
Feb 2018 (II);11500
Feb 2018 (III);11500
Feb 2018 (IV);11100
Mar 2018 (I);10550
Mar 2018 (II);10500
Mar 2018 (III);10500
Mar 2018 (IV);10500
Apr 2018 (I);10500
Apr 2018 (II);10500
Apr 2018 (III);10500
Apr 2018 (IV);10500
Apr 2018 (V);10500
Mei 2018 (I);10500
Mei 2018 (II);10500
Mei 2018 (III);10500
Mei 2018 (IV);10500
Jun 2018 (I);10500
Jun 2018 (II);10500
Jun 2018 (III);10500
Jun 2018 (IV);10500
Jul 2018 (I);10500
Jul 2018 (II);10500
Jul 2018 (III);10500
Jul 2018 (IV);10500
Jul 2018 (V);10500
Agu 2018 (I);10000
Agu 2018 (II);10000
Agu 2018 (III);10000
Agu 2018 (IV);10000
Sep 2018 (I);10000
Sep 2018 (II);10000
Sep 2018 (III);10000
Sep 2018 (IV);10000
Okt 2018 (I);10000
Okt 2018 (II);10000
Okt 2018 (III);10000
Okt 2018 (IV);10000
Okt 2018 (V);10000
Nov 2018 (I);10000
Nov 2018 (II);10000
Nov 2018 (III);10000
Nov 2018 (IV);10000
Des 2018 (I);10000
Des 2018 (II);10000
Des 2018 (III);10000
Des 2018 (IV);10000
Des 2018 (V);10000
Jan 2019 (I);10000
Jan 2019 (II);10000
Jan 2019 (III);10000
Jan 2019 (IV);10000
Feb 2019 (I);10000
Feb 2019 (II);10000
Feb 2019 (III);10000
Feb 2019 (IV);10000
Mar 2019 (I);10000
Mar 2019 (II);10000
Mar 2019 (III);10000
Mar 2019 (IV);10000
Apr 2019 (I);10000
Apr 2019 (II);10000
Apr 2019 (III);10000
Apr 2019 (IV);10000
Apr 2019 (V);10000
Mei 2019 (I);10000
Mei 2019 (II);10000
Mei 2019 (III);10000
Mei 2019 (IV);10000
Jun 2019 (I);10000
Jun 2019 (II);10000
Jun 2019 (III);10000
Jun 2019 (IV);10000
Jul 2019 (I);10000
Jul 2019 (II);10000
Jul 2019 (III);10000
Jul 2019 (IV);10000
Jul 2019 (V);10000
Agu 2019 (I);10000
Agu 2019 (II);10000
Agu 2019 (III);10000
Agu 2019 (IV);10000
Sep 2019 (I);10000
Sep 2019 (II);10000
Sep 2019 (III);10000
Sep 2019 (IV);10000
